ID,name,url,latitude,longitude,cameraid,last_width,last_height,rating,inuse
71,Grands Montets Logan webcam Argentiere (Chamonix),http://www.compagniedumontblanc.fr/webcam/Grandsmontets.jpg,0.0,0.0,3054,640,480,1,0
72,Mer de Glace webcam Chamonix,http://www.compagniedumontblanc.fr/webcam/CMM1MERDEGLACE.jpg,34.0,-95.0,3055,1280,480,1,0
73,Place Balmat webcam Chamonix (centre),http://static1.chamonet.com/image_uploader/webcam/large/chamonix-town-centre.jpg,0.0,0.0,3056,2592,1443,1,0
74,Vallée Blanche Arete (Aiguille du Midi) Chamonix,http://www.compagniedumontblanc.fr/webcam/tam_arrete.jpg,45.8336421,6.86459390000005,3057,640,480,0,0
75,7 km - Downstream of Badger,http://www.env.gov.nl.ca/wrmd/ADRS/v6/webcam/Badger2_Webcam.jpg,0.0,0.0,3058,640,504,0,0
76,Most recent conditions in Badger,http://www.env.gov.nl.ca/wrmd/ADRS/v6/webcam/Badger_Webcam.jpg,0.0,0.0,3059,640,504,1,0
77,Beaver Cove,http://www.beavercovecamps.com/weather/images/weathercam/weathercam.jpg,45.55925643,-69.46105957,3060,640,360,0,0
78,Brookfield,http://170.222.32.148/rwisimages/Image-707007-707007-0-1.jpg,44.023611,-72.6,3061,704,480,1,0
79,Burlington Skyline,http://tv3.wcax.com/n/wcaxsnap.jpg,44.47698741,-73.21252584,3062,420,240,1,0
80,Corner Brook,http://www.roads.gov.nl.ca/cameras/sites/cornerbrook/current.jpg,48.950824,-57.949563,3063,320,240,0,0
81,Dublin Cam,http://s3.amazonaws.com/almanac/webcam/image.jpg,42.90463946,-72.0907402,3064,738,554,1,0
82,Ely,http://images.webcams.travel/webcam/1268871050.jpg,47.903237,-91.867087,3065,400,224,1,0
83,Foliage Cam,http://klima.sr.unh.edu/data/latest/proctor.jpg,44.5265884,-72.94505596,3066,1296,976,0,0
84,Foxboro,http://wwc.instacam.com/instacamimg/FXBRG/FXBRG_l.jpg?rnd=15-112020112002,42.065381,-71.247825,3067,1280,720,1,0
85,Franconia,http://www.koolkinetics.com/franconia/images/ispy1.jpg,44.2270075,-71.7478646,3068,1280,720,1,0
86,Glenwood,http://www.gnb.ca/0113/cameras/cam-images/RNBGW.jpg,46.981782,-65.370811,3069,320,240,1,0
87,Holiday Valley,http://www.snowgrabber.com/grabber/holiday-valley-base.jpg,42.27324426,-78.67172241,3070,640,480,0,0
88,Lake Winnipesaukee Cam - Bear Cam 3,http://www.bearcam1.com/bearcam3.jpg,43.64737973,-71.40795708,3071,704,480,1,0
89,Liberty Mountain,http://www.libertymountainresort.com/cams/TLC.jpg,39.73465017,-77.46185303,3072,640,480,0,0
90,Liberty Mountain,http://www.libertymountainresort.com/cams/TLC1.jpg,39.73042573,-77.44400024,3073,640,480,1,0
91,McCauley summit,http://www.oldforge.net/mcwebcamtop.jpg,43.69145966,-74.96134758,3074,640,480,1,0
92,Newport,http://icons.wunderground.com/webcamramdisk/d/m/Dmaroot/1/current.jpg,44.936436,-72.205102,3075,320,240,0,0
93,NMU,http://www.acs.nmu.edu/campics/academic.jpg,46.543544,-87.395417,3076,640,480,1,0
94,Plattekill,http://www.plattekill.com/webcam/image1.jpg,42.285691,-74.5690155,3077,1920,1080,0,0
95,Port Rexton,http://www.roads.gov.nl.ca/cameras/sites/portrexton_amec/current.jpg,48.38909,-53.344116,3078,320,240,0,0
96,Portland,http://www.autoeurope.com/noapp/hcam.cfm,43.65197549,-70.26031494,3079,704,480,0,0
97,Rochester,http://www.frontiernet.net/~domonroe/picture.jpg?1228793789578,43.14458519,-77.5904274,3080,640,480,0,0
98,St Donat,http://www.pierreforget.com/video01.jpg,46.319515,-74.220387,3081,640,480,1,0
99,Stratton Mountain,http://images.webcams.travel/webcam/1225049276.jpg,43.0613889,-72.9041667,3082,400,224,0,0
100,View of the Adirondacks,http://www.orda.org/arena1.jpg,44.27372147,-73.98159027,3083,320,240,0,0
101,Wachusett,http://www.instacam.com/instacamimg/PRNWM/PRNWM_s.jpg,42.44930143,-71.8787384,3084,640,360,0,0
102,Westford Weather,http://www.westfordweather.net/cam/webcam.jpg,44.61002348,-73.00827026,3085,1600,1200,1,0
103,Tetons from Driggs Idaho,http://www.tetoncam.com/tetonl.jpg,0.0,0.0,3086,640,480,0,0
104,Jackson Hole Ski Resort - Top of Tram,http://www.jacksonhole.com/webcam/codybowl.jpg,0.0,0.0,3087,1280,720,1,0
105,Jackson Hole Ski Resort - Top of Thunder Chair looking at top of Gondola,http://www.jacksonhole.com/webcam/guncam.jpg,0.0,0.0,3088,1920,1080,1,0
106,Brooks Lake Lodge Web Cam,http://www.brookslake.com/netcam.jpg,43.7473346,-110.0077166,3089,1024,768,1,0
107,Hunky's Technical Services Webcam,http://www.hunkydory.cc/weather/Image.jpg,42.7438412,-110.9335853,3090,640,480,1,0
108,DayWeather WeatherCam - Keystone Wyoming USA - 6192 feet,http://dayweather.com/keystone/ispy.jpg,0.0,0.0,3091,640,480,1,0
109,University of Wyoming PastureCam,http://www.uwagec.org/pasturecam/camera1.jpg,41.3091948,-105.610542,3092,2592,1944,1,0
110,DayWeather Web Cam,http://dayweather.com/ispy.jpg,41.1530026,-104.8180888,3093,640,480,0,0
111,Eternal Sunset,http://www.roads.gov.nl.ca/cameras/sites/lanseauloup/current.jpg,0.0,0.0,3094,352,240,0,0
112,Eternal Sunset,http://www.kornberg.de/webcams/kb01/kb01.jpg,0.0,0.0,3095,640,480,0,0
113,Eternal Sunset,http://www.met.fu-berlin.de/wetter/webcam/Wannsee_prod.jpg,52.4833,13.35,3096,704,576,0,0
114,Eternal Sunset,http://www.avendano.org/cam.jpg,40.4,-3.01667,3097,1920,1080,0,0
115,Eternal Sunset,http://www.hotelcalabona.it/webcam/alghero.jpg,40.55,8.31667,3098,640,480,1,0
116,Eternal Sunset,http://webcam.usask.ca/cgi-bin/getcam.cgi?camera=axiscam2,52.1167,-106.633,3099,640,480,1,0
117,Lighthouse and Dock Webcams,http://www.tawasbayweather.com/images/webcam1.jpg,44.2799888,-83.4782752,3100,640,480,1,0
118,Eternal Sunset,http://www.mairie-cosnesurloire.fr/photo.jpg,47.4,2.91667,3101,352,288,0,0
119,Eternal Sunset,http://www.wallacecompany.com/E45/webcam2.jpg,37.8667,-120.167,3102,448,296,0,0
120,Eternal Sunset,http://boulderflatironcam.com/bfc/bfc.jpg,39.59,-105.08,3103,1024,576,1,0
121,Big Creek Marina,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-034.jpg,0.0,0.0,3104,640,480,1,0
122,CDR - Mount Mercy,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-001.jpg,42.0021111,-91.6510391,3105,640,480,0,0
123,Cedar Falls/UNI,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-012.jpg,42.5237670666,-92.4391362904,3106,640,480,1,0
124,Coralville,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-018.jpg,41.6822756,-91.5960643,3107,640,480,0,0
125,Decorah,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-013.jpg,43.3033056,-91.7857092,3108,640,480,0,0
126,Dubuque,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-005.jpg,42.5005583,-90.6645718,3109,640,480,1,0
127,Fayette,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-016.jpg,42.8419255,-91.8021071,3110,640,480,0,0
128,Huron,http://mesonet.agron.iastate.edu/data/camera/640x480/KELO-003.jpg,41.036702,-91.0340335,3111,640,480,1,0
129,Independence,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-007.jpg,42.4685978,-91.8893386,3112,640,480,0,0
130,Iowa City,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-006.jpg,41.6611277,-91.5301683,3113,640,480,1,0
131,ISU Ag Farm,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-027.jpg,0.0,0.0,3114,640,480,1,0
132,ISU Ames,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-016.jpg,42.0278131288,-93.6443330901,3115,640,480,1,0
133,Lamoni,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-028.jpg,40.622777,-93.9341158,3116,640,480,0,0
134,Mitchell,http://mesonet.agron.iastate.edu/data/camera/640x480/KELO-002.jpg,43.3211111,-92.8702778,3117,640,480,1,0
135,Monticello,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-002.jpg,42.2383351,-91.1870937,3118,640,480,1,0
136,Parkersburg,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-011.jpg,42.5744444,-92.7866667,3119,640,480,0,0
137,Pella,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-006.jpg,0.0,0.0,3120,640,480,1,0
138,Rathbun Lake,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-015.jpg,40.8644399,-92.9925577,3121,640,480,0,0
139,Sigourney,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-008.jpg,41.3333445,-92.2046255,3122,640,480,0,0
140,Stuart,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-033.jpg,0.0,0.0,3123,640,480,1,0
141,Tipton,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-010.jpg,41.7697434,-91.1279349,3124,640,480,0,0
142,Vinton,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-004.jpg,42.1646477,-92.0185651,3125,640,480,0,0
143,Washington,http://mesonet.agron.iastate.edu/data/camera/640x480/KCRG-003.jpg,41.3014077,-91.6916417,3126,640,480,1,0
144,Winterset,http://mesonet.agron.iastate.edu/data/camera/640x480/KCCI-013.jpg,41.3308237,-94.0138393,3127,640,480,0,0
145,Etosha Safari Lodge Webcam updates every 5 minutes - View North,http://weather.namsearch.com/etosha.jpg,42.9259941468188,-74.9609375,3128,640,480,1,0
146,Martigny: Vue sur le Catogne,http://images.webcams.travel/original/1177877762.jpg,0.0,0.0,3129,400,224,1,0
147,Cannon Beach,http://www.instacam.com/instacamimg/CNHNB/CNHNB_l.jpg,45.8763887424,-123.962342792,3130,1280,720,1,0
148,OSU Coastal Imaging Lab Site at Agate Beach,http://cil-www.oce.orst.edu/yhead/latest.c0.snap.jpg,44.6767435,-124.0793923,3131,1280,960,0,0
149,Westport WA,http://www.rainbowsendcam.com/images/rainbowsendcam.jpg,46.8900903,-124.1040613,3132,640,480,0,0
150,La Push WA,http://webcam.forkswa.com/webcam1/netcam.jpg,47.9054293249047,-124.635740484131,3133,800,600,1,0
151,OSU Webcams - Memorial Union,http://webcam.oregonstate.edu/cam/mu/live/live.jpg?1339168014228,44.5640033,-123.2747343,3134,1024,768,1,0
152,H.J. Andrews Experimental Forest,http://webcam.oregonstate.edu/cam/andrews/live/live.jpg?1485658980,0.0,0.0,3135,640,480,0,0
153,Multi-Animal Teaching Facility,http://webcam.oregonstate.edu/cam/animal/live/live.jpg?673580679,0.0,0.0,3136,1024,768,1,0
154,Goss Stadium,http://webcam.oregonstate.edu/cam/baseball/live/live.jpg?453315409,0.0,0.0,3137,1280,720,1,0
155,Hatfield Marine Science Center,http://webcam.oregonstate.edu/cam/hmsc/live/live.jpg?940348292,44.6245471,-124.0476393,3138,1280,720,1,0
156,Marys Peak Realtime Observatory,http://webcam.oregonstate.edu/cam/maryspeak/live/live.jpg?1755217686,44.5584126189,-123.278121948,3139,1020,756,1,0
157,Yosemity Falls,http://pixelcaster.com/yosemite/webcams/yosfalls.jpg,37.755,-119.5972222,3140,1280,720,1,0
158,CSU Atmospheric Science Webcam,http://www.atmos.colostate.edu/webcam/images/latest.jpg,40.5882277,-105.1476157,3141,640,480,0,0
159,Webbkamera över Isternäset,http://www.vattenriket.kristianstad.se/arkiv/bilder/ister/ister-l.jpg,56.0293936,14.1566778,3142,640,480,0,0
160,"Laguna Beach, Los Angeles",http://abclocal.go.com/three/kabc/webcam/web3-1.jpg,0.0,0.0,3143,600,338,0,0
161,Kaiserslautern City Hall 2,http://www.kaiserslautern.de/live_tools/webcam/cam1_r_212.jpg,49.4466,7.76745,3144,212,159,0,0
162,Kaiserslautern City Hall 4,http://www.kaiserslautern.de/live_tools/webcam/cam2_r_212.jpg,49.4466,7.76745,3145,212,159,0,0
163,"Zzyzx, CA",http://www.eldesierto.org/Zzyzx.jpg,35.1600387,-116.1064944,3146,1024,576,0,0
164,CABO SAN LUCAS,http://webcamsdemexico.net/cabos1/live.jpg,0.0,0.0,3147,800,600,1,0
165,New Port Richey Weather Cam,http://www.aprsfl.net/cam/images-cam/image.jpg,28.2441768,-82.7192671,3148,672,512,1,0
166,"Bonny Hills, Australia 3",http://www.bonnyhillsbeachhouse.com.au/webcam_files/surfcam_980x734.jpg,-31.580181,152.83001,3149,979,551,1,0
167,"Midland, TX 2",http://72.48.229.4/axis-cgi/jpg/image.cgi?resolution=352x240&amp,0.0,0.0,3150,323,352,0,0
168,"Notrees, TX",http://72.48.231.13/axis-cgi/jpg/image.cgi?resolution=704x480,0.0,0.0,3151,704,480,1,0
169,"Barstow, TX",http://72.48.232.148/axis-cgi/jpg/image.cgi?resolution=704x480,0.0,0.0,3152,704,480,1,0
170,"Brookings Hall, Washington University in St. Louis",http://128.252.39.100/SnapshotJPEG?Resolution=1280x960&amp,0.0,0.0,3153,0,328,0,0
171,"Oak Allée, Washington University in St. Louis",http://128.252.39.112/SnapshotJPEG?Resolution=1280x960&amp,0.0,0.0,3154,0,328,0,0
172,"DUC, Washington University in St. Louis",http://128.252.39.27/SnapshotJPEG?Resolution=1280x960&amp,0.0,0.0,3155,0,328,1,0
173,"Francis Field, Washington University in St. Louis",http://128.252.163.102/SnapshotJPEG?Resolution=1280x960&amp,0.0,0.0,3156,0,328,1,0
174,"South 40, Washington University in St. Louis",http://128.252.105.1/SnapshotJPEG?Resolution=1280x960&amp,0.0,0.0,3157,0,328,0,0
175,"Yosemite, Half Dome",http://pixelcaster.com/yosemite/webcams/ahwahnee2.jpg,37.7461111,-119.5330555,3158,1296,960,1,0
176,"Yosemite, High Sierra",http://pixelcaster.com/yosemite/webcams/sentinel.jpg,37.7705963,-119.5107708,3159,1024,576,1,0
177,SLOweather.com Cams,http://wx.sloweather.com/images/towncam.jpg,35.2690965,-120.6707693,3160,640,480,1,0
178,I-75/85 AT GRADY CURVE,http://cdn.511ga.org/cameras/GDOT-CAM-010.jpg,33.752,-84.380304,3161,352,240,0,0
179,I-75/85 AT EDGEWOOD,http://cdn.511ga.org/cameras/GDOT-CAM-011.jpg,33.7534,-84.379304,3162,352,240,0,0
180,I-75/85 NB AT COURTLAND ST,http://cdn.511ga.org/cameras/GDOT-CAM-013.jpg,33.766888,-84.38176,3163,352,240,0,0
181,I-75/85 SB AT COURTLAND ST,http://cdn.511ga.org/cameras/GDOT-CAM-014.jpg,33.763184,-84.387856,3164,352,240,0,0
182,I-75/85 NB AT SPRING ST,http://cdn.511ga.org/cameras/GDOT-CAM-015.jpg,33.7682,-84.3892,3165,352,240,0,0
183,I-75/85 SB AT SPRING ST,http://cdn.511ga.org/cameras/GDOT-CAM-016.jpg,33.7672,-84.3892,3166,352,240,0,0
184,I-75/85 N OF NORTH AVE,http://cdn.511ga.org/cameras/GDOT-CAM-017.jpg,33.7744,-84.390704,3167,352,240,0,0
185,I-75/85 S OF 10TH ST,http://cdn.511ga.org/cameras/GDOT-CAM-018.jpg,33.7805,-84.3914,3168,352,240,0,0
186,I-85 N OF FAYETTEVILLE RD,http://cdn.511ga.org/cameras/GDOT-CAM-180.jpg,33.55352,-84.55288,3169,1920,1080,0,0
187,I-85 S OF SR 138,http://cdn.511ga.org/cameras/GDOT-CAM-181.jpg,33.562912,-84.545728,3170,720,480,0,0
188,I-85 AT SR 138,http://cdn.511ga.org/cameras/GDOT-CAM-182.jpg,33.56698,-84.537784,3171,720,480,0,0
189,I-85 N OF SR 138,http://cdn.511ga.org/cameras/GDOT-CAM-183.jpg,33.569136,-84.535824,3172,720,480,0,0
190,I-85 1 MI N OF SR 138,http://cdn.511ga.org/cameras/GDOT-CAM-184.jpg,33.567692,-84.529832,3173,720,480,0,0
191,I-85 N OF FLAT SHOALS RD,http://cdn.511ga.org/cameras/GDOT-CAM-186.jpg,33.579996,-84.523576,3174,720,480,0,0
192,I-85 S OF BUFFINGTON RD,http://cdn.511ga.org/cameras/GDOT-CAM-187.jpg,33.588704,-84.512592,3175,720,480,0,0
193,I-85 N OF BUFFINGTON RD,http://cdn.511ga.org/cameras/GDOT-CAM-188.jpg,33.589496,-84.5002,3176,720,480,0,0
194,I-85 1 MI N OF BUFFNGTN RD,http://cdn.511ga.org/cameras/GDOT-CAM-189.jpg,33.601084,-84.494112,3177,720,480,0,0
195,I-75/85 N OF 10TH ST,http://cdn.511ga.org/cameras/GDOT-CAM-019.jpg,33.7835,-84.3914,3178,352,240,0,0
196,I-85 AT ENTRNCE RAMP FRM I285,http://cdn.511ga.org/cameras/GDOT-CAM-190.jpg,33.606804,-84.48256,3179,720,480,0,0
197,I-85 N OF I-285 SOUTH,http://cdn.511ga.org/cameras/GDOT-CAM-191.jpg,33.618076,-84.488184,3180,720,480,0,0
198,I-85 S OF OLD NATIONAL,http://cdn.511ga.org/cameras/GDOT-CAM-192.jpg,33.622548,-84.4812,3181,720,480,1,0
199,I-85 AT OLD NATIONAL,http://cdn.511ga.org/cameras/GDOT-CAM-193.jpg,33.623424,-84.475376,3182,720,480,0,0
200,I-85 N OF OLD NATIONAL,http://cdn.511ga.org/cameras/GDOT-CAM-194.jpg,33.622912,-84.4658,3183,720,480,0,0
201,I-85 2/3 MI N OF OLD NATL,http://cdn.511ga.org/cameras/GDOT-CAM-195.jpg,33.62284,-84.46352,3184,720,480,0,0
202,I-85 N OF I-285 WEST,http://cdn.511ga.org/cameras/GDOT-CAM-196.jpg,33.617392,-84.461232,3185,720,480,0,0
203,I-85 S OF RIVERDALE RD,http://cdn.511ga.org/cameras/GDOT-CAM-197.jpg,33.625436,-84.454352,3186,720,480,0,0
204,I-85 N OF RIVERDALE RD,http://cdn.511ga.org/cameras/GDOT-CAM-198.jpg,33.63494,-84.45688,3187,720,480,0,0
205,I-85 1/2 MI S OF CAMP CRK,http://cdn.511ga.org/cameras/GDOT-CAM-199.jpg,33.6388,-84.456208,3188,720,480,0,0
206,I-75/85 AT 14TH ST,http://cdn.511ga.org/cameras/GDOT-CAM-020.jpg,33.787116,-84.395416,3189,1920,1080,0,0
207,I-75 AT BROOKWOOD INTRCHGE,http://cdn.511ga.org/cameras/GDOT-CAM-021.jpg,33.7959,-84.392504,3190,352,240,0,0
208,I-85 AT BROOKWOOD INTRCHGE,http://cdn.511ga.org/cameras/GDOT-CAM-022.jpg,33.7958,-84.393896,3191,352,240,0,0
209,I-75 N OF BROOKWOOD INTRCHGE,http://cdn.511ga.org/cameras/GDOT-CAM-023.jpg,33.802272,-84.394032,3192,352,240,0,0
210,I-75 AT NORTHSIDE DR,http://cdn.511ga.org/cameras/GDOT-CAM-024.jpg,33.8022,-84.407304,3193,352,240,0,0
211,I-75 AT COLLIER RD,http://cdn.511ga.org/cameras/GDOT-CAM-025.jpg,33.8085,-84.418096,3194,352,240,0,0
212,I-75 NEAR PEACHTREE BATTLE,http://cdn.511ga.org/cameras/GDOT-CAM-026.jpg,33.824272,-84.4234,3195,720,480,0,0
213,I-75 S OF PEACHTREE BATTLE,http://cdn.511ga.org/cameras/GDOT-CAM-099.jpg,33.820632,-84.422576,3196,720,480,0,0
214,I-75 AT MOORES MILL RD,http://cdn.511ga.org/cameras/GDOT-CAM-027.jpg,33.834524,-84.427472,3197,352,240,0,0
215,I-285 AT BOULDERCREST RD,http://cdn.511ga.org/cameras/GDOT-CAM-271.jpg,33.686052,-84.312192,3198,720,480,0,0
216,I-75 S OF PACES FERRY RD,http://cdn.511ga.org/cameras/GDOT-CAM-028.jpg,33.84692,-84.4264,3199,720,480,0,0
217,I-75 N OF W PACES FERRY RD,http://cdn.511ga.org/cameras/GDOT-CAM-029.jpg,33.855748,-84.42812,3200,720,480,0,0
218,I-75 AT MT PARAN RD,http://cdn.511ga.org/cameras/GDOT-CAM-030.jpg,33.8637,-84.438104,3201,720,480,0,0
219,I-75 S OF CHATT RIVER,http://cdn.511ga.org/cameras/GDOT-CAM-031.jpg,33.8743,-84.446072,3202,352,240,0,0
220,I-75 AT CUMBERLAND BLVD,http://cdn.511ga.org/cameras/GDOT-CAM-032.jpg,33.8808,-84.453496,3203,352,240,0,0
221,I-75 AT AKERS MILL RD,http://cdn.511ga.org/cameras/GDOT-CAM-033.jpg,33.886564,-84.457936,3204,352,240,0,0
222,I-20 at Langhorn St,http://cdn.511ga.org/cameras/GDOT-CAM-339.jpg,33.74594,-84.428544,3205,352,240,0,0
223,I-75 AT WINDY RIDGE,http://cdn.511ga.org/cameras/GDOT-CAM-034.jpg,33.896288,-84.465872,3206,352,240,0,0
224,I-20 at Lawton St,http://cdn.511ga.org/cameras/GDOT-CAM-341.jpg,33.74324,-84.42396,3207,352,240,0,0
225,I-20 at Lowery Blvd,http://cdn.511ga.org/cameras/GDOT-CAM-343.jpg,33.741348,-84.41676,3208,352,240,0,0
226,I-20 at Lee St,http://cdn.511ga.org/cameras/GDOT-CAM-344.jpg,33.741564,-84.412056,3209,352,240,0,0
227,I-20 at McDaniel St,http://cdn.511ga.org/cameras/GDOT-CAM-345.jpg,33.741368,-84.40596,3210,352,240,0,0
228,I-20 at Windsor St,http://cdn.511ga.org/cameras/GDOT-CAM-346.jpg,33.7447,-84.39932,3211,352,240,0,0
229,I-20 EB Exit to 75/85 NB,http://cdn.511ga.org/cameras/GDOT-CAM-348.jpg,33.743928,-84.389744,3212,1280,720,0,0
230,I-85 AT MARTA OVERPASS,http://cdn.511ga.org/cameras/GDOT-CAM-035.jpg,33.8023,-84.3872,3213,352,240,0,0
231,I-85 AT MONROE DR,http://cdn.511ga.org/cameras/GDOT-CAM-036.jpg,33.8089,-84.378096,3214,352,240,0,0
232,I-85 AT GA 400 RAMPS,http://cdn.511ga.org/cameras/GDOT-CAM-037.jpg,33.8171,-84.363096,3215,1280,720,1,0
233,I-85 AT CHESHIRE BRIDGE,http://cdn.511ga.org/cameras/GDOT-CAM-038.jpg,33.8241,-84.352304,3216,352,240,0,0
234,I-85 S OF N DRUID HILLS RD,http://cdn.511ga.org/cameras/GDOT-CAM-039.jpg,33.8282,-84.3444,3217,352,240,0,0
235,I-85 S OF CLAIRMONT RD,http://cdn.511ga.org/cameras/GDOT-CAM-040.jpg,33.8387,-84.3226,3218,352,240,0,0
236,I-85 NEAR CLAIRMONT RD,http://cdn.511ga.org/cameras/GDOT-CAM-041.jpg,33.8419,-84.308896,3219,352,240,0,0
237,I-85 1 MI N OF CLAIRMONT,http://cdn.511ga.org/cameras/GDOT-CAM-042.jpg,33.8515,-84.301496,3220,352,240,0,0
238,I-85 S OF SHALLOWFORD RD,http://cdn.511ga.org/cameras/GDOT-CAM-043.jpg,33.859,-84.2938,3221,352,240,0,0
239,I-85 N OF SHALLOWFORD RD,http://cdn.511ga.org/cameras/GDOT-CAM-044.jpg,33.8722,-84.2792,3222,352,240,0,0
